### LC--->noradrenaline DR--->serotonin VLPO--->GABA WR--->acetylcholin R--->acetylcholin SCN--->GABA 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
2036	1	4.871331550674075	0.4386707757002384	2.216088606675121	0.105563958358636	0.06727337236879943	0.07806229778110885	4.749899912952467	0.8298244853741719	4.980143165125575	0.9085549961259696	4.311342274661559	0.7750682447192063	0.18737229955767754
2038	1	4.997961298158685	0.4631231036886466	2.504161103632643	0.13128072012163816	0.04803153248882059	0.06650089428553538	4.793688681408261	0.8462371437576409	4.956535101334302	0.9124013317529462	4.338490064034057	0.7783825600749723	0.1899761229518417
2040	1	5.109295065139429	0.48646659225813993	2.773783761305053	0.15846370592602171	0.04611678685672639	0.056608443166791575	4.830934349997569	0.8600634011562764	4.868351223271309	0.9151124117062374	4.361539231071794	0.7815487615425197	0.19257251736235279
2042	1	5.2099371728961135	0.508663401402055	3.034746570509925	0.18656563003807497	0.037052047202788624	0.04825672728989052	4.8529688074648485	0.8716113089554065	4.6486753925513336	0.9160956543178467	4.37519661831107	0.7845174001942053	0.19516150398488705
2044	1	5.30565909781834	0.5297324258692578	3.2901063822649017	0.21534205030268636	0.03885283450822301	0.04126691958831382	4.867256004836309	0.8812255021103106	4.074343649348449	0.9128230409137492	4.401403371660662	0.7872744638493575	0.19774310395464767
2046	1	5.402299710074001	0.5497267132227797	3.4995748924177437	0.2442370418418471	0.040543202862214314	0.03558502576307874	4.893676392462525	0.8892744791980939	2.9796774019753918	0.8969389489623368	4.411948760529602	0.7897248475450768	0.20031733834653634
2048	1	5.498857439838216	0.5687581323900396	3.7016440934347705	0.27297564089348325	0.031375184963239953	0.030827696128958363	4.911251548883784	0.8960818158590753	1.6565673405790589	0.8492395623968946	4.413972650654395	0.7919004473064867	0.20288422817532628
2050	1	5.566732370155859	0.5867833452295437	3.864195907249684	0.3012235319721216	0.01713838684129885	0.02616884123616502	4.937904613358021	0.9017842330643537	0.730035120361585	0.7600285487384113	4.387733334875508	0.7934936064536368	0.20544379439583285
2052	1	5.650133308012446	0.6037931132141345	3.937616239889322	0.32829607326960353	0.02696248447574983	0.022456192451945748	4.940993061141038	0.9066156212589839	0.28453491352375315	0.6500821172608655	4.355091067148731	0.7942614071101584	0.20799605790308567
2054	1	5.720315548991756	0.6199271830932237	3.9191597936584603	0.3535888496162308	0.01721576366800786	0.019328444806660783	4.939886364739217	0.9105773942768141	0.10102225839598489	0.5426161976158664	4.313721194594361	0.7942293296773465	0.21054103953249817
2056	1	5.777453310166887	0.6351345615383229	3.7549796450222424	0.37606210581345734	0.008760138811715643	0.016302824753654223	4.949010005591038	0.9138783952761141	0.03419281073589479	0.4478750946506618	4.267177851182628	0.793476943170446	0.2130787600600383
2058	1	5.851207412467853	0.6494865452013372	3.553404029403219	0.395083707738308	0.011889078548483735	0.01368540978885516	4.9728975836419655	0.916715878132189	0.017004161087085908	0.3683696415753337	4.238739537929461	0.7922759285857767	0.21560924020239802
2060	1	5.893595423829433	0.6630440110304667	3.3568607813891864	0.41076733122982473	0.012211007135855531	0.011675498708020067	4.940206248538446	0.9189718133190811	0.0062324493035403866	0.30219923117471453	4.199614677167212	0.7907155037196829	0.2181325006171624
2062	1	5.931522874863886	0.6757721526737727	3.1402838613997086	0.42305335020825496	0.008578514177840007	0.010151144740412248	4.9129366239432395	0.9205540704965364	0.002283939475104326	0.2477375661231191	4.185331026034253	0.7890046825135938	0.22064856190297832
